Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,Wine Type
13.2,1.92,2.54,17.97,111.74,2.85,2.89,0.24,1.6,5.48,1.06,3.5,1372.83,One
13.6,2.59,2.65,18.35,102.0,3.02,3.2,0.3,1.61,4.83,1.06,3.18,1463.71,One
14.02,1.91,2.38,18.41,102.83,3.01,3.08,0.25,2.09,5.2,1.17,3.11,1478.25,One
13.78,2.53,2.67,17.66,102.62,2.92,2.95,0.35,1.9,7.03,1.02,3.27,1398.56,One
13.98,1.65,2.58,16.86,102.78,2.51,3.23,0.27,2.02,5.12,1.02,3.38,1485.88,One
13.76,2.26,2.39,16.43,103.34,2.7,3.1,0.18,2.06,5.66,1.02,3.16,1423.6,One
13.43,2.57,2.37,17.84,97.72,2.9,2.61,0.3,1.98,5.19,0.99,3.12,1428.21,One
13.9,1.87,2.44,18.37,108.49,3.11,2.94,0.28,2.05,5.94,1.14,3.1,1348.52,One
13.84,2.07,2.33,16.05,108.18,2.58,2.89,0.31,1.59,5.66,1.04,3.2,1480.7,One
13.75,2.24,2.66,18.79,107.31,2.99,3.06,0.24,1.74,5.32,1.09,3.3,1388.57,One
13.47,1.41,2.49,19.11,114.1,2.92,2.79,0.3,1.74,4.14,1.1,3.07,1639.86,One
13.59,2.03,2.6,16.18,109.86,2.73,2.85,0.29,2.04,4.88,1.15,3.15,1408.26,One
13.41,2.06,2.48,14.34,105.11,2.65,3.21,0.28,1.63,6.04,1.07,3.31,1429.01,One
13.56,2.39,2.39,15.65,104.79,2.54,2.84,0.27,1.76,5.77,1.1,3.16,1254.78,One
13.46,1.84,2.49,14.04,105.79,2.73,2.99,0.26,1.62,4.4,1.11,3.21,1476.49,One
13.47,1.55,2.37,17.3,113.57,2.98,3.16,0.28,2.11,5.11,1.16,3.34,1402.34,One
13.76,2.43,2.35,15.88,100.35,2.69,3.16,0.28,1.79,5.29,0.99,3.24,1462.64,One
13.91,2.32,2.47,15.66,111.46,3.23,3.04,0.28,1.84,4.71,1.08,3.4,1513.66,One
13.6,1.76,2.43,19.46,101.87,2.81,3.18,0.29,1.67,5.45,1.07,3.12,1582.2,One
14.14,2.21,2.47,18.11,103.16,2.76,2.71,0.29,1.96,5.11,1.12,3.24,1470.88,One
13.98,2.3,2.57,16.2,105.79,2.79,3.31,0.27,2.14,4.77,1.18,2.97,1492.34,One
13.63,2.32,2.72,18.9,103.07,2.84,2.93,0.34,1.42,4.56,1.12,3.37,1390.41,One
13.91,2.16,2.26,16.52,102.86,3.24,2.78,0.28,1.77,4.45,1.06,3.11,1586.19,One
13.47,2.01,2.31,14.95,101.97,2.81,2.95,0.31,1.71,5.6,1.13,2.71,1572.21,One
13.86,2.84,2.42,16.7,97.16,2.87,2.89,0.32,1.91,5.15,1.12,3.43,1429.08,One
13.9,1.73,2.48,17.45,105.94,3.08,2.8,0.34,1.88,6.05,1.05,2.65,1342.91,One
13.99,2.02,2.22,16.36,114.82,2.72,3.1,0.29,1.8,5.79,1.06,3.17,1352.38,One
13.6,1.8,2.46,17.07,107.22,2.63,2.67,0.28,1.96,4.98,1.06,3.35,1508.34,One
13.85,1.95,2.37,16.72,113.31,2.83,3.03,0.25,2.02,4.71,1.13,3.18,1382.91,One
13.47,1.7,2.63,16.34,106.52,2.98,2.81,0.28,1.44,5.93,1.1,3.1,1422.77,One
13.89,0.85,2.42,17.8,102.52,3.16,2.65,0.28,1.66,6.35,1.08,3.26,1474.0,One
13.7,2.01,2.48,17.82,106.84,2.77,3.33,0.26,1.99,6.38,1.09,3.28,1394.23,One
13.68,2.13,2.19,19.03,103.61,3.01,3.11,0.29,2.03,5.63,1.1,3.12,1247.11,One
14.04,1.64,2.53,17.69,103.33,3.25,3.08,0.37,1.8,5.55,1.07,3.08,1359.96,One
13.83,2.11,2.41,18.66,104.18,2.76,2.75,0.29,1.76,5.49,1.07,3.33,1465.0,One
13.8,2.05,2.51,18.82,110.79,2.76,3.12,0.34,2.08,5.15,1.07,3.22,1437.49,One
13.36,2.22,2.51,19.99,105.56,2.82,2.97,0.27,1.71,5.07,1.01,3.36,1322.52,One
13.39,2.63,2.54,15.86,101.92,3.0,3.06,0.28,2.26,6.44,1.08,2.92,1441.88,One
13.42,2.09,2.49,15.91,98.38,2.8,3.25,0.24,1.95,6.24,1.05,3.1,1351.73,One
13.65,2.29,2.26,17.12,97.81,3.08,2.8,0.25,1.52,5.62,1.07,3.57,1358.04,One
13.99,1.67,2.33,18.17,109.91,2.92,2.89,0.35,1.84,5.25,1.0,3.22,1466.32,One
13.72,1.97,2.39,19.64,104.86,2.94,3.15,0.36,1.9,5.76,0.97,3.22,1211.72,One
13.56,2.01,2.42,17.85,110.18,2.6,2.77,0.27,2.28,5.94,0.98,3.16,1626.8,One
14.07,2.2,2.48,15.77,97.98,2.58,3.13,0.24,1.93,5.8,0.98,3.13,1481.65,One
14.09,1.99,2.47,15.43,104.37,2.73,2.99,0.23,1.52,5.16,1.08,3.13,1691.58,One
13.51,2.22,2.18,17.55,112.24,2.87,3.14,0.35,2.16,5.88,1.08,2.98,1683.95,One
13.79,1.53,2.57,16.85,110.34,2.8,2.85,0.25,1.74,5.58,0.93,3.27,1667.26,One
14.0,2.18,2.23,17.33,105.73,2.79,3.13,0.26,1.71,5.71,1.1,3.4,1369.3,One
14.23,2.15,2.38,17.57,109.34,2.57,2.9,0.29,2.15,5.35,0.98,3.06,1630.59,One
13.8,1.74,2.37,15.88,101.01,2.66,3.61,0.28,2.08,6.39,1.05,3.16,1465.52,One
13.79,1.94,2.47,15.25,106.57,2.96,2.86,0.29,1.82,5.4,1.08,3.08,1408.94,One
13.7,1.81,2.6,17.42,114.02,2.7,2.58,0.24,2.23,6.28,1.13,3.02,1411.34,One
13.69,1.7,2.43,18.87,113.46,3.02,3.06,0.25,1.39,5.12,1.03,3.31,1518.13,One
13.43,2.1,2.46,15.56,104.95,2.75,2.86,0.31,2.0,4.43,1.07,3.18,1360.13,One
13.92,2.41,2.54,16.3,105.77,3.24,3.11,0.2,1.85,5.52,1.11,3.03,1422.81,One
13.93,1.96,2.4,18.51,107.9,2.72,2.93,0.3,1.75,6.6,1.11,3.18,1409.14,One
13.81,2.01,2.3,18.16,104.52,2.55,2.75,0.23,1.67,5.63,0.99,3.24,1523.57,One
13.69,1.82,2.59,14.88,101.76,2.67,3.21,0.32,1.99,4.5,0.97,3.53,1297.54,One
13.54,1.92,2.41,18.61,105.7,3.1,2.87,0.31,1.98,5.16,1.0,3.18,1416.8,One
14.15,2.66,2.4,18.71,110.1,2.57,2.82,0.33,1.79,5.97,0.89,3.12,1384.93,One
13.8,2.26,2.54,15.67,93.84,2.95,3.13,0.27,1.97,5.3,1.09,3.29,1444.67,One
13.81,1.87,2.46,17.22,105.88,2.82,3.01,0.26,2.03,4.85,1.11,3.25,1556.01,One
13.48,1.67,2.53,16.05,102.4,2.65,2.79,0.32,2.17,5.79,1.13,3.14,1309.79,One
13.27,1.77,2.41,17.1,108.35,2.83,3.03,0.28,1.93,5.44,1.03,3.2,1502.52,One
13.63,2.22,2.53,15.28,108.77,2.84,2.92,0.28,1.79,4.29,1.12,3.04,1677.36,One
13.7,1.42,2.48,15.16,108.1,2.8,3.0,0.29,2.5,5.2,0.97,3.15,1500.1,One
14.08,2.5,2.33,18.26,99.6,2.66,3.05,0.3,1.48,5.66,1.09,3.16,1484.11,One
13.67,1.72,2.36,16.79,94.95,2.64,3.11,0.34,2.19,4.76,1.08,2.93,1517.41,One
13.67,1.81,2.39,16.56,104.71,2.75,3.12,0.32,2.02,4.81,1.14,3.25,1495.56,One
13.69,2.03,2.5,18.75,115.17,2.85,3.12,0.23,1.55,5.11,1.08,3.35,1529.13,One
13.35,2.77,2.71,18.13,105.48,3.0,2.96,0.25,1.91,5.45,1.02,3.42,1178.91,One
14.01,2.61,2.37,15.95,96.6,2.62,3.01,0.31,1.94,6.31,1.06,3.23,1396.72,One
13.8,2.18,2.43,15.35,110.3,2.85,3.02,0.26,1.92,5.34,1.08,3.06,1348.63,One
13.95,1.3,2.67,16.36,108.56,3.05,2.68,0.31,2.36,3.68,1.13,3.2,1301.6,One
14.07,2.19,2.45,13.91,109.05,2.63,3.1,0.34,1.64,6.22,1.16,3.01,1321.57,One
13.48,1.97,2.44,17.64,113.44,2.85,3.12,0.35,1.82,5.55,1.03,3.32,1574.11,One
13.9,1.7,2.49,17.02,109.77,2.9,2.83,0.31,1.69,5.99,1.0,3.15,1411.8,One
14.06,1.5,2.59,17.36,109.51,2.99,2.77,0.29,2.17,4.43,1.09,3.11,1260.55,One
13.55,1.74,2.51,16.79,112.48,2.68,2.81,0.32,1.89,7.47,1.01,2.81,1434.43,One
14.12,2.14,2.62,17.68,107.83,2.9,2.74,0.25,2.01,5.65,1.02,3.06,1715.95,One
13.88,2.39,2.55,17.19,106.59,2.81,2.84,0.24,1.7,4.91,1.14,2.98,1458.81,One
13.83,1.71,2.48,17.06,108.21,2.59,2.92,0.3,1.63,4.84,1.05,3.43,1172.21,One
13.86,1.74,2.51,16.5,100.75,3.04,2.84,0.22,1.71,7.01,1.2,3.01,1572.78,One
13.69,2.71,2.34,17.54,110.24,3.16,2.9,0.29,2.21,5.35,1.0,3.12,1396.02,One
14.1,1.93,2.61,17.64,111.97,3.14,3.25,0.25,2.04,5.55,1.01,3.18,1440.08,One
14.04,1.6,2.3,15.5,110.04,2.82,2.73,0.33,2.28,5.22,0.93,3.44,1529.21,One
13.38,2.17,2.57,16.97,108.75,2.7,2.57,0.28,1.94,4.52,1.08,3.31,1424.3,One
13.67,1.89,2.4,19.67,111.49,2.89,3.03,0.26,2.03,6.12,1.06,3.23,1417.84,One
13.93,1.73,2.48,16.51,114.42,3.15,3.08,0.25,1.95,5.58,1.03,3.07,1351.4,One
13.74,2.38,2.46,14.64,107.21,2.5,2.68,0.34,2.18,5.51,1.06,3.49,1738.7,One
13.97,1.9,2.2,16.69,113.46,2.6,3.1,0.28,1.74,6.07,1.06,2.96,1469.69,One
14.25,2.4,2.34,18.73,109.2,2.79,3.21,0.3,1.5,5.85,1.1,3.12,1508.61,One
13.63,2.29,2.3,16.53,104.84,2.62,3.04,0.26,1.75,5.47,1.02,3.16,1451.16,One
13.71,2.17,2.3,15.07,100.52,3.17,3.12,0.3,1.53,6.74,1.01,2.9,1635.18,One
13.82,1.78,2.32,18.02,102.84,3.03,2.74,0.32,1.99,5.96,1.1,2.92,1596.02,One
14.01,1.96,2.49,18.17,106.38,2.96,3.12,0.29,1.75,5.1,1.03,3.43,1662.95,One
13.64,2.24,2.62,16.34,102.77,3.02,2.73,0.33,1.69,5.08,1.01,3.19,1310.12,One
13.41,1.89,2.44,20.79,103.19,2.6,2.82,0.34,2.0,5.73,1.09,3.46,1287.17,One
13.7,2.22,2.26,17.54,102.21,2.83,2.85,0.27,2.39,7.31,1.06,3.49,1560.08,One
13.93,1.51,2.54,18.79,104.94,2.66,2.95,0.3,1.78,5.54,1.06,3.08,1440.49,One
14.05,2.31,2.52,18.28,114.33,2.71,2.74,0.19,2.07,4.62,1.04,3.1,1297.07,One
13.72,2.03,2.5,16.85,101.33,2.98,2.88,0.25,1.97,4.05,0.99,3.08,1459.78,One
13.8,2.47,2.58,18.19,110.15,3.07,3.05,0.28,1.93,5.52,1.05,3.19,1430.85,One
13.65,2.37,2.61,17.02,102.98,2.62,2.85,0.26,2.02,5.65,1.14,3.2,1611.95,One
13.52,1.76,2.31,17.88,96.95,3.05,3.1,0.27,2.21,6.13,1.06,3.28,1187.9,One
13.63,2.03,2.55,17.27,95.36,2.74,3.08,0.28,1.89,5.14,1.16,3.31,1513.95,One
14.1,1.74,2.47,17.78,111.6,2.91,2.97,0.29,2.16,4.98,1.1,3.28,1583.91,One
13.55,1.71,2.22,17.77,114.36,2.97,2.69,0.36,1.69,6.47,1.02,3.14,1337.61,One
13.54,1.8,2.5,18.35,100.62,2.78,3.09,0.32,2.37,5.25,1.06,2.95,1557.11,One
13.77,2.26,2.4,17.22,104.59,2.84,2.68,0.3,1.93,6.12,1.05,3.13,1630.18,One
13.81,1.95,2.52,19.26,109.04,2.91,3.1,0.37,2.04,5.13,1.1,3.14,1618.93,One
13.84,2.17,2.08,16.87,99.89,2.8,2.65,0.29,2.18,5.63,0.98,3.35,1390.97,One
13.66,2.26,2.54,14.85,110.54,2.78,2.82,0.29,2.25,6.7,1.1,3.04,1511.5,One
13.95,2.32,2.32,19.46,103.65,3.06,2.94,0.27,2.14,4.66,0.96,2.88,1483.13,One
14.14,1.99,2.48,17.07,94.71,2.55,2.78,0.29,2.05,6.07,1.0,2.88,1602.59,One
13.72,2.54,2.74,17.86,107.27,3.26,3.06,0.28,1.99,6.3,1.13,3.06,1616.29,One
13.9,1.79,2.51,15.98,108.66,2.87,3.27,0.36,1.97,5.65,1.1,3.25,1288.17,One
14.03,2.28,2.4,17.37,108.54,2.76,2.72,0.27,2.01,4.81,1.08,3.37,1423.56,One
13.68,2.28,2.42,16.36,104.4,3.08,3.11,0.37,2.09,4.99,0.97,3.46,1557.71,One
13.74,1.97,2.5,14.63,111.77,2.85,3.22,0.28,2.02,5.35,1.02,3.1,1383.82,One
13.4,2.06,2.33,19.34,106.36,2.71,2.89,0.27,1.99,5.5,1.11,3.09,1465.5,One
13.85,2.34,2.33,15.67,108.15,2.93,3.35,0.21,1.65,6.61,1.04,3.27,1373.75,One
13.75,1.99,2.82,14.38,103.54,3.44,2.87,0.29,1.72,5.11,1.05,3.3,1533.3,One
13.37,1.9,2.59,16.33,108.29,2.76,2.77,0.25,1.78,5.74,1.07,3.24,1394.6,One
14.18,2.25,2.35,17.37,112.14,2.83,2.92,0.28,2.05,5.38,1.04,3.02,1403.37,One
13.63,2.12,2.54,16.62,96.04,2.58,2.83,0.3,1.98,5.64,1.11,2.8,1487.6,One
13.87,2.17,2.51,16.82,106.95,2.98,2.93,0.32,2.24,5.66,1.12,3.18,1428.31,One
13.27,2.09,2.45,17.39,105.31,3.07,2.97,0.28,2.06,4.67,1.02,2.89,1519.73,One
13.86,1.91,2.51,16.72,107.48,2.6,2.45,0.27,1.94,5.81,1.11,3.13,1352.58,One
13.67,2.58,2.32,15.81,104.18,2.82,2.79,0.26,2.2,5.29,0.96,2.98,1438.75,One
13.82,1.93,2.44,18.01,112.29,2.82,2.94,0.27,2.11,5.51,1.04,3.25,1405.76,One
13.94,2.08,2.57,17.9,102.97,2.94,3.24,0.3,1.71,6.37,1.15,3.33,1490.48,One
13.76,1.83,2.38,19.38,106.66,2.73,3.15,0.29,1.94,6.53,1.12,3.03,1453.6,One
13.65,2.23,2.41,18.23,108.24,2.89,3.24,0.27,1.2,5.53,1.04,2.98,1618.18,One
14.19,1.34,2.53,17.5,112.32,2.73,2.79,0.3,1.83,6.15,1.02,3.02,1541.11,One
13.69,1.96,2.41,17.65,103.0,2.99,2.71,0.34,2.16,4.45,1.07,3.17,1617.02,One
13.95,1.69,2.6,15.11,109.3,2.94,3.43,0.29,1.69,5.78,1.06,3.18,1448.21,One
13.78,1.86,2.45,18.24,96.85,2.86,2.93,0.29,2.22,5.57,1.07,3.01,1544.2,One
13.94,1.73,2.27,16.91,108.38,2.96,3.13,0.26,1.98,5.95,1.12,3.11,1295.85,One
13.58,2.09,2.37,17.53,102.52,2.68,2.95,0.28,2.25,6.11,0.92,2.95,1710.19,One
13.65,1.68,2.32,16.44,103.23,2.75,2.79,0.25,2.14,5.64,1.06,2.99,1490.19,One
13.96,1.97,2.42,17.65,104.7,2.71,3.22,0.28,1.89,5.25,1.05,3.11,1592.97,One
13.67,1.59,2.19,17.14,108.01,2.86,3.06,0.27,1.83,5.45,1.0,3.1,1481.78,One
14.08,2.01,2.44,18.04,113.65,2.71,2.77,0.35,1.95,4.56,1.08,2.99,1462.12,One
14.04,1.91,2.36,18.8,106.86,2.91,2.57,0.29,1.73,5.64,1.15,3.21,1441.77,One
13.86,1.94,2.6,17.93,108.25,2.87,3.05,0.26,2.17,5.44,1.01,3.32,1342.36,One
13.61,2.34,2.46,15.6,105.23,3.0,2.76,0.21,1.96,5.77,1.09,2.98,1425.93,One
13.77,2.14,2.31,16.88,113.79,2.86,2.67,0.37,1.72,5.04,1.12,3.19,1410.88,One
13.86,2.06,2.51,17.68,106.43,2.89,2.96,0.37,1.74,6.0,1.09,2.97,1646.06,One
13.59,1.92,2.44,17.42,103.74,3.2,2.83,0.29,1.59,6.93,1.16,2.93,1482.75,One
13.86,1.61,2.36,15.23,112.12,3.26,2.89,0.23,2.1,5.94,1.03,2.89,1497.51,One
13.44,2.14,2.6,16.09,104.78,2.66,2.99,0.29,1.56,4.73,0.96,2.95,1240.52,One
13.69,2.1,2.41,17.88,91.3,2.53,2.6,0.31,1.68,5.6,1.03,3.29,1560.68,One
13.98,1.75,2.4,16.2,108.2,2.75,2.86,0.27,2.05,5.11,1.09,3.36,1510.23,One
13.76,2.06,2.22,16.0,119.4,2.82,2.99,0.24,1.56,5.73,1.0,3.09,1412.95,One
13.99,2.1,2.58,17.76,106.27,2.35,3.31,0.26,1.91,5.24,1.06,3.47,1491.79,One
13.62,1.62,2.23,16.48,100.34,2.85,2.92,0.27,1.72,5.67,1.01,3.34,1605.59,One
13.8,1.24,2.57,19.04,105.16,3.1,3.18,0.28,1.92,4.88,1.04,3.39,1557.93,One
13.83,2.18,2.45,14.82,104.4,2.9,2.7,0.27,1.79,5.59,0.98,2.72,1466.32,One
13.77,1.5,2.51,19.31,111.61,2.64,2.99,0.28,1.75,5.75,1.0,3.32,1524.52,One
13.64,1.95,2.39,16.95,103.62,2.93,3.02,0.36,1.65,5.3,1.08,3.14,1502.16,One
13.58,2.47,2.26,17.13,109.14,2.85,3.14,0.31,1.71,5.61,1.03,2.87,1515.02,One
13.89,1.9,2.29,18.06,102.68,2.84,3.25,0.26,2.13,5.85,1.05,3.09,1386.29,One
13.86,1.65,2.45,17.16,103.16,3.08,3.37,0.35,2.18,5.59,1.13,3.13,1612.24,One
13.7,2.64,2.4,17.84,98.03,2.64,2.9,0.36,1.72,5.88,0.96,3.15,1722.11,One
13.53,1.77,2.67,14.72,102.7,2.78,3.12,0.33,1.73,6.23,1.0,3.36,1477.3,One
13.56,1.88,2.38,17.12,86.46,2.82,3.02,0.32,1.75,4.92,1.06,3.34,1457.71,One
13.91,1.75,2.59,15.09,110.63,2.68,2.72,0.27,1.78,5.96,1.13,3.31,1607.64,One
